X,Y,FID,C_Date,C_Time,C_Day,County,RdwyID,MilePost,SSO_Lat,SSO_Long,P_TypeCD,P_Type,P_GenCD,P_Gender,P_Age,P_InjCD,P_Injury,P_LocCD,P_Locate,PreActCD,PrAction,ActCirCD,P_ActCir,SpctRxCD,SpctDrug
-8968327.288,3249564.087,11,1/20/2018 21:15,9:15 PM,6: Fri,Brevard,70010000,11.434,28.0046767,-80.5638519,2,"Other pedestrian (wheelchair, etc)",1,Male,36,4,Serious (Incapacitating),5,Travel lane (other location),77,Other,6,"Disabled vehicle related (working on, pushing, leaving/approaching)",1,No
-9086333.194,3540277.239,12,2/11/2018 2:20,2:20 AM,7: Sat,Duval,72280000,14.763,30.285308,-81.6239166,1,Pedestrian,1,Male,27,4,Serious (Incapacitating),7,Shoulder/roadside,77,Other,1,No improper action,1,No
-9061053.335,3311389.747,13,1/8/2018 1:27,1:27 AM,1: Sun,Orange,75010000,10.107,28.4939148,-81.3968239,1,Pedestrian,2,Female,28,5,Fatal,9,Median/crossing island,1,Crossing roadway,2,Dart/dash,1,No
-8983752.846,3278100.3,14,2/14/2018 12:55,12:55 PM,3: Tue,Brevard,70000000,0,28.230768,-80.702422,3,Bicyclist,2,Female,20,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,3,Failure to yield right-of-way,1,No
-8980730.409,3257595.694,15,4/11/2018 7:50,7:50 AM,3: Tue,Brevard,70000000,0,28.068359,-80.675271,3,Bicyclist,1,Male,66,5,Fatal,3,Intersection (other),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-8971380.727,3271611.603,16,11/2/2018 19:25,7:25 PM,5: Thr,Brevard,70060000,23.76,28.1794002,-80.5912814,1,Pedestrian,1,Male,81,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9173681.736,3459864.073,17,2/13/2018 16:17,4:17 PM,2: Mon,Alachua,26070000,15.212,29.6595543,-82.4085817,1,Pedestrian,2,Female,29,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,8,"Inattentive (talking, eating, etc)",1,No
-9048651.16,3311731.943,18,2/10/2018 21:34,9:34 PM,6: Fri,Orange,75200000,1.351,28.4966164,-81.2854133,3,Bicyclist,1,Male,30,4,Serious (Incapacitating),77,Other,1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-9029642.095,3338229.799,19,2/20/2018 15:48,3:48 PM,2: Mon,Seminole,77000000,0,28.705604,-81.114652,1,Pedestrian,1,Male,50,4,Serious (Incapacitating),5,Travel lane (other location),77,Other,3,Failure to yield right-of-way,1,No
-9040013.723,3328201.427,20,4/18/2018 20:53,8:53 PM,3: Tue,Seminole,77170000,1.008,28.6265595,-81.2078219,1,Pedestrian,1,Male,21,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,77,Other,88,Unknown
-9071443.276,3291003.033,21,3/11/2018 6:55,6:55 AM,7: Sat,Osceola,92090000,8.799,28.3328391,-81.4901583,1,Pedestrian,2,Female,59,5,Fatal,9,Median/crossing island,1,Crossing roadway,3,Failure to yield right-of-way,2,Yes
-9067132.617,3324069.505,22,1/2/2018 18:03,6:03 PM,2: Mon,Orange,75000000,0,28.593974,-81.451435,1,Pedestrian,1,Male,30,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",77,Other,2,Yes
-9210520.421,3260790.051,23,1/27/2018 6:51,6:51 AM,6: Fri,Pinellas,15150000,27.666,28.0936765,-82.7395092,1,Pedestrian,1,Male,85,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No
-9065890.247,3327141.794,24,1/1/2018 18:04,6:04 PM,1: Sun,Orange,75020000,5.442,28.6182039,-81.4402746,1,Pedestrian,2,Female,53,5,Fatal,77,Other,1,Crossing roadway,77,Other,2,Yes
-9178417.373,3258207.666,25,1/13/2018 1:00,1:00 AM,6: Fri,Hillsborough,10040000,8.478,28.0732098,-82.4511227,1,Pedestrian,1,Male,37,4,Serious (Incapacitating),77,Other,1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9061048.048,3310630.035,26,3/14/2018 11:20,11:20 AM,3: Tue,Orange,75010000,9.694,28.4879167,-81.3967764,3,Bicyclist,1,Male,39,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No
-8934950.448,2989868.483,27,11/18/2018 1:54,1:54 AM,7: Sat,Miami-Dade,87260000,20.835,25.9255903,-80.2640228,2,"Other pedestrian (wheelchair, etc)",1,Male,25,4,Serious (Incapacitating),77,Other,77,Other,77,Other,1,No
-9180100.747,3272820.922,28,1/17/2018 15:00,3:00 PM,3: Tue,Pasco,14010000,1.251,28.1889757,-82.4662447,3,Bicyclist,1,Male,29,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No
-9711611.947,3558567.717,29,2/4/2018 21:48,9:48 PM,7: Sat,Escambia,48050000,21.472,30.4270879,-87.2408896,1,Pedestrian,1,Male,40,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",6,"Disabled vehicle related (working on, pushing, leaving/approaching)",1,No
-9716147.516,3562905.691,30,2/9/2018 22:10,10:10 PM,5: Thr,Escambia,48012000,1.156,30.4606838,-87.2816333,3,Bicyclist,1,Male,31,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9184109.397,3261771.04,31,1/12/2018 8:29,8:29 AM,5: Thr,Hillsborough,10160000,7.353,28.1014503,-82.502255,1,Pedestrian,2,Female,91,5,Fatal,3,Intersection (other),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9165595.757,3255419.714,32,2/25/2018 19:26,7:26 PM,7: Sat,Hillsborough,10260000,4.267,28.0511095,-82.3359442,1,Pedestrian,1,Male,33,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-9189009.79,3157578.847,33,1/4/2018 17:20,5:20 PM,4: Wed,Sarasota,17080000,1.648,27.2726577,-82.546276,3,Bicyclist,1,Male,55,4,Serious (Incapacitating),6,Bicycle lane,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No
-8945044.067,2949294.811,34,1/14/2018 6:42,6:42 AM,7: Sat,Miami-Dade,87020000,13.887,25.5973367,-80.3546953,1,Pedestrian,2,Female,64,5,Fatal,77,Other,1,Crossing roadway,77,Other,1,No
-9068950.465,3322191.477,35,2/28/2018 5:42,5:42 AM,3: Tue,Orange,75250000,0,28.57916,-81.467765,1,Pedestrian,2,Female,20,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,88,Unknown
-9212132.861,3228731.427,36,1/25/2018 8:45,8:45 AM,4: Wed,Pinellas,15000000,0,27.83932,-82.753994,3,Bicyclist,1,Male,23,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No
-9211402.762,3271096.414,37,2/10/2018 22:45,10:45 PM,6: Fri,Pasco,14030020,0.201,28.1753207,-82.7474354,3,Bicyclist,1,Male,21,4,Serious (Incapacitating),10,Driveway access,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),8,"Inattentive (talking, eating, etc)",1,No
-9164251.707,3241321.42,38,2/2/2018 15:29,3:29 PM,5: Thr,Hillsborough,10110000,7.08,27.9392818,-82.3238704,3,Bicyclist,1,Male,48,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,88,Unknown,1,No
-9181687.227,3207971.983,39,2/22/2018 7:40,7:40 AM,4: Wed,Hillsborough,10060000,3.388,27.6742933,-82.4804963,1,Pedestrian,1,Male,25,5,Fatal,7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),12,Wrong-way riding/walking,1,No
-9140627.297,3496355.94,40,11/20/2018 6:13,6:13 AM,2: Mon,Bradford,28010000,8.077,29.9440126,-82.1116487,3,Bicyclist,1,Male,59,4,Serious (Incapacitating),77,Other,1,Crossing roadway,77,Other,1,No
-9072503.561,3290999.226,41,2/1/2018 15:26,3:26 PM,4: Wed,Osceola,92090000,8.219,28.332809,-81.499683,3,Bicyclist,1,Male,21,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No
-9021353.908,3233431.335,42,2/23/2018 17:41,5:41 PM,5: Thr,Osceola,92000000,0,27.876647,-81.040198,1,Pedestrian,1,Male,76,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9189328.614,3310850.197,43,4/10/2018 23:35,11:35 PM,2: Mon,Hernando,8000000,0,28.489655,-82.54914,1,Pedestrian,2,Female,57,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-9192717.739,3375837.643,44,4/15/2018 2:25,2:25 AM,7: Sat,Citrus,2000000,0,29.0015,-82.579585,1,Pedestrian,1,Male,23,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",88,Unknown
-9171515.815,3134685.552,45,2/13/2018 8:40,8:40 AM,2: Mon,Sarasota,17000000,0,27.089715,-82.389125,3,Bicyclist,1,Male,76,4,Serious (Incapacitating),7,Shoulder/roadside,1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9075095.636,3317841.36,46,2/2/2018 21:26,9:26 PM,5: Thr,Orange,75000000,0,28.544838,-81.522968,1,Pedestrian,1,Male,43,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown
-9062428.365,3310427.172,47,1/8/2018 17:23,5:23 PM,1: Sun,Orange,75000000,0,28.486315,-81.409176,3,Bicyclist,2,Female,18,4,Serious (Incapacitating),10,Driveway access,4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),1,No improper action,1,No
-9524350.847,3520438.243,48,5/31/2018 18:50,6:50 PM,4: Wed,Bay,46000000,0,30.131293,-85.558695,1,Pedestrian,1,Male,49,5,Fatal,7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),12,Wrong-way riding/walking,1,No
-9000849.206,3153930.42,49,5/29/2018 21:34,9:34 PM,2: Mon,Okeechobee,91070000,7.881,27.2435228,-80.8560012,1,Pedestrian,1,Male,47,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown
-9064264.358,3295821.124,50,1/26/2018 17:45,5:45 PM,5: Thr,Orange,75000000,0,28.370929,-81.425669,3,Bicyclist,1,Male,14,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No
-9575119.229,3539528.775,51,6/14/2018 9:50,9:50 AM,4: Wed,Walton,60000000,0,30.279502,-86.014755,3,Bicyclist,2,Female,13,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-8981066.227,3279616.09,52,8/4/2018 0:22,12:22 AM,6: Fri,Brevard,70020000,12.487,28.2427642,-80.6782877,1,Pedestrian,1,Male,49,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",88,Unknown
-9097145.899,3008683.345,53,2/26/2018 6:36,6:36 AM,1: Sun,Collier,3010000,18.579,26.0774995,-81.7210489,3,Bicyclist,1,Male,14,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,2,Dart/dash,1,No
-9099306.734,3033192.573,54,4/23/2018 9:13,9:13 AM,1: Sun,Collier,3000000,0,26.275089,-81.74046,1,Pedestrian,1,Male,49,4,Serious (Incapacitating),8,Sidewalk,7,Adjacent to roadway (shoulder median),77,Other,1,No
-9065582.151,3052809.418,55,8/11/2018 21:40,9:40 PM,6: Fri,Collier,3000000,0,26.432995,-81.437507,1,Pedestrian,1,Male,63,4,Serious (Incapacitating),77,Other,1,Crossing roadway,2,Dart/dash,1,No
-9161599.368,3382468.54,56,3/27/2018 19:16,7:16 PM,2: Mon,Marion,36000000,0,29.053584,-82.300044,3,Bicyclist,1,Male,56,4,Serious (Incapacitating),77,Other,77,Other,1,No improper action,1,No
-9138102.055,3388772.854,57,4/30/2018 1:19,1:19 AM,1: Sun,Marion,36010000,18.694,29.1030784,-82.0889641,1,Pedestrian,1,Male,32,4,Serious (Incapacitating),77,Other,77,Other,77,Other,88,Unknown
-9058129.873,3303130.639,58,2/12/2018 10:38,10:38 AM,1: Sun,Orange,75000000,0,28.428689,-81.370562,1,Pedestrian,1,Male,43,5,Fatal,11,Shared-use path/trail,77,Other,4,"Failure to obey traffic signs, signals, officer",1,No
-9134995.762,3402843.616,59,2/13/2018 19:45,7:45 PM,2: Mon,Marion,36080000,5.392,29.2134604,-82.0610598,1,Pedestrian,1,Male,59,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No
-9705875.908,3572026.554,60,2/7/2018 22:50,10:50 PM,3: Tue,Escambia,48020000,25.906,30.5312835,-87.1893619,1,Pedestrian,1,Male,25,4,Serious (Incapacitating),5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",1,No
-9105523.989,3185196.24,61,2/1/2018 15:45,3:45 PM,4: Wed,Hardee,6010000,10.617,27.4929509,-81.7963105,3,Bicyclist,1,Male,24,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No
-9139541.271,3391533.614,62,2/19/2018 5:00,5:00 AM,1: Sun,Marion,36010000,20.382,29.1247453,-82.1018928,1,Pedestrian,1,Male,49,5,Fatal,88,Unknown,88,Unknown,88,Unknown,2,Yes
-9035036.06,3356009.715,63,4/4/2018 20:46,8:46 PM,3: Tue,Volusia,79120000,4.421,28.8456001,-81.1631068,1,Pedestrian,2,Female,51,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-9164707.917,3241597.44,64,2/27/2018 19:04,7:04 PM,2: Mon,Hillsborough,10075333,0.07,27.9414723,-82.3279686,3,Bicyclist,1,Male,23,5,Fatal,4,Midblock (marked crosswalk),5,Walking/cycling on sidewalk,9,"Not visible (dark clothing, no lighting, etc)",88,Unknown
-9002354.273,3318574.998,65,9/5/2018 22:55,10:55 PM,3: Tue,Brevard,70110000,4.033,28.5506271,-80.8695214,1,Pedestrian,1,Male,24,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),88,Unknown,88,Unknown
-8960119.89,2881317.181,66,7/23/2018 12:58,12:58 PM,1: Sun,Monroe,90060000,21.206,25.0453561,-80.4901237,1,Pedestrian,1,Male,56,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No
-8954349.253,2887602.249,67,11/22/2018 10:40,10:40 AM,4: Wed,Monroe,90060000,26.005,25.0964964,-80.4382852,3,Bicyclist,2,Female,44,4,Serious (Incapacitating),1,Intersection (marked crosswalk),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),1,No improper action,1,No
-9709361.779,3569321.697,68,2/17/2018 9:00,9:00 AM,6: Fri,Escambia,48070000,6.769,30.510352,-87.220676,1,Pedestrian,1,Male,62,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-8990790.756,3308194.147,69,6/5/2018 16:46,4:46 PM,2: Mon,Brevard,70020000,29.196,28.4686825,-80.7656446,1,Pedestrian,2,Female,28,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",2,Dart/dash,2,Yes
-9061100.791,3307489.493,70,2/9/2018 21:00,9:00 PM,5: Thr,Orange,75010000,7.986,28.4631178,-81.3972502,3,Bicyclist,1,Male,45,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-9112662.351,3084866.696,71,9/6/2018 15:30,3:30 PM,4: Wed,Lee,12060000,17.424,26.690575,-81.8604355,3,Bicyclist,1,Male,50,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No
-9732389.167,3543296.601,72,3/14/2018 23:30,11:30 PM,3: Tue,Escambia,48050000,6.225,30.3087271,-87.4275345,3,Bicyclist,1,Male,29,5,Fatal,6,Bicycle lane,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No
-9192259.508,3177473.773,73,1/31/2018 14:55,2:55 PM,3: Tue,Manatee,13010000,3.138,27.431396,-82.5754687,3,Bicyclist,1,Male,68,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,3,Failure to yield right-of-way,1,No
-9200394.439,3180214.379,74,2/5/2018 8:20,8:20 AM,1: Sun,Manatee,13000000,0,27.453245,-82.648546,1,Pedestrian,1,Male,87,5,Fatal,5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),1,No improper action,1,No
-9079077.988,3544299.576,75,4/17/2018 22:05,10:05 PM,2: Mon,Duval,72040000,9.568,30.316505,-81.558742,1,Pedestrian,2,Female,25,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes
-9184488.548,3169851.62,76,1/26/2018 18:28,6:28 PM,5: Thr,Sarasota,17000000,0,27.370607,-82.505661,1,Pedestrian,2,Female,18,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No
-9054269.759,3381033.585,77,3/30/2018 11:30,11:30 AM,5: Thr,Volusia,79000000,0,29.042315,-81.335886,3,Bicyclist,1,Male,61,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),77,Other,1,No
-9110626.105,3455815.244,78,3/9/2018 18:08,6:08 PM,5: Thr,Putnam,76050000,13.526,29.6279434,-81.8421435,3,Bicyclist,1,Male,54,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-9090684.026,3464271.872,79,5/19/2018 21:31,9:31 PM,6: Fri,Putnam,76030000,2.834,29.6939565,-81.6630008,1,Pedestrian,2,Female,48,4,Serious (Incapacitating),7,Shoulder/roadside,1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown
-9083422.675,3458763.163,80,5/29/2018 4:32,4:32 AM,2: Mon,Putnam,76000000,0,29.65096,-81.597771,1,Pedestrian,1,Male,16,4,Serious (Incapacitating),7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No
-9205794.774,3284375.349,81,3/1/2018 22:13,10:13 PM,4: Wed,Pasco,14000000,0,28.280421,-82.697058,3,Bicyclist,1,Male,18,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",88,Unknown
-9067573.765,3318799.678,82,2/14/2018 13:06,1:06 PM,3: Tue,Orange,75050000,12.343,28.5524,-81.4553979,3,Bicyclist,1,Male,54,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No
-9488741.293,3604794.364,83,4/6/2018 7:34,7:34 AM,5: Thr,Jackson,53000000,0,30.784498,-85.238809,1,Pedestrian,1,Male,73,5,Fatal,2,Intersection (unmarked crosswalk),1,Crossing roadway,1,No improper action,1,No
-8941462.395,2982490.017,84,2/22/2018 0:50,12:50 AM,4: Wed,Miami-Dade,87260356,0.111,25.8659638,-80.3225206,1,Pedestrian,1,Male,62,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No
-9048780.559,3324510.108,85,2/20/2018 18:40,6:40 PM,2: Mon,Orange,75200000,8.444,28.5974492,-81.2865757,1,Pedestrian,1,Male,62,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,1,No improper action,1,No
-9047349.804,3375600.655,86,5/25/2018 8:50,8:50 AM,5: Thr,Volusia,79000000,0,28.999638,-81.273723,3,Bicyclist,1,Male,79,4,Serious (Incapacitating),1,Intersection (marked crosswalk),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),2,Dart/dash,1,No
-9053704.588,3310713.577,87,1/8/2018 19:21,7:21 PM,1: Sun,Orange,75080000,13.392,28.4885763,-81.330809,1,Pedestrian,1,Male,60,4,Serious (Incapacitating),9,Median/crossing island,1,Crossing roadway,2,Dart/dash,1,No
-9049557.045,3312041.72,88,1/10/2018 18:36,6:36 PM,3: Tue,Orange,75000000,0,28.499062,-81.293551,1,Pedestrian,2,Female,73,5,Fatal,2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9066110.066,3571157.312,89,5/2/2018 10:25,10:25 AM,3: Tue,Nassau,74130000,0.899,30.5245572,-81.4422492,3,Bicyclist,1,Male,67,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,10,Improper turn/merge,1,No
-8928732.028,2982093.298,90,1/28/2018 1:47,1:47 AM,7: Sat,Miami-Dade,87270000,8.342,25.862757,-80.2081618,1,Pedestrian,1,Male,23,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No
-9206971.866,3256436.731,91,1/27/2018 13:04,1:04 PM,6: Fri,Pinellas,15000000,0,28.059172,-82.707632,3,Bicyclist,2,Female,61,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No
-9144607.521,3323786.894,92,7/25/2018 12:05,12:05 PM,3: Tue,Sumter,18010000,1.365,28.5917449,-82.1474037,1,Pedestrian,1,Male,45,4,Serious (Incapacitating),7,Shoulder/roadside,4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),8,"Inattentive (talking, eating, etc)",1,No
-9157700.364,3241122.193,93,1/21/2018 20:10,8:10 PM,7: Sat,Hillsborough,10110000,10.697,27.9377007,-82.2650187,1,Pedestrian,2,Female,35,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes
-9074863.278,3290989.69,94,1/11/2018 7:53,7:53 AM,4: Wed,Osceola,92090000,6.928,28.3327336,-81.5208807,3,Bicyclist,2,Female,27,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No
-9718085.779,3565949.631,95,3/1/2018 3:24,3:24 AM,4: Wed,Escambia,48000000,0,30.484251,-87.299045,2,"Other pedestrian (wheelchair, etc)",2,Female,56,4,Serious (Incapacitating),7,Shoulder/roadside,7,Adjacent to roadway (shoulder median),7,Entering/exiting parked/standing vehicle,1,No
-9718085.779,3565949.631,96,3/1/2018 3:24,3:24 AM,4: Wed,Escambia,48000000,0,30.484251,-87.299045,2,"Other pedestrian (wheelchair, etc)",2,Female,58,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",7,Entering/exiting parked/standing vehicle,1,No
-9644617.721,3559571.02,97,4/21/2018 19:30,7:30 PM,6: Fri,Okaloosa,57110000,3.305,30.4348591,-86.6390704,1,Pedestrian,1,Male,55,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No
-9122919.482,3261161.831,98,5/5/2018 0:33,12:33 AM,6: Fri,Polk,16320000,7.781,28.0966227,-81.9525768,1,Pedestrian,2,Female,26,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No
-9254159.219,3549454.653,99,4/4/2018 12:20,12:20 PM,3: Tue,Suwannee,37000000,0,30.356473,-83.131523,3,Bicyclist,1,Male,25,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No
-9046651.945,3479395.936,100,4/3/2018 12:22,12:22 PM,2: Mon,St Johns,78040000,10.316,29.811908,-81.267454,1,Pedestrian,1,Male,45,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",2,Dart/dash,2,Yes
-9051034.239,3498372.785,101,4/20/2018 19:54,7:54 PM,5: Thr,St Johns,78030000,4.903,29.9597105,-81.3068208,3,Bicyclist,1,Male,62,4,Serious (Incapacitating),7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),88,Unknown,1,No
-9165466.158,3223456.085,102,3/9/2018 17:54,5:54 PM,5: Thr,Hillsborough,10010000,11.552,27.7974075,-82.33478,1,Pedestrian,1,Male,26,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,88,Unknown
